2024-07-01 20:37:37 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 20:37:37 | INFO     | DF | Running on device cuda:0
2024-07-01 20:37:37 | INFO     | DF | Model loaded
2024-07-01 21:12:30 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 21:12:30 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 21:12:30 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 21:12:30 | INFO     | DF | Running on device cuda:0
2024-07-01 21:12:30 | INFO     | DF | Model loaded
2024-07-01 21:13:00 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 21:13:00 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 21:13:00 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 21:13:00 | INFO     | DF | Running on device cuda:0
2024-07-01 21:13:00 | INFO     | DF | Model loaded
2024-07-01 21:50:45 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 21:50:45 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 21:50:45 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 21:50:45 | INFO     | DF | Running on device cuda:0
2024-07-01 21:50:45 | INFO     | DF | Model loaded
2024-07-02 12:47:06 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-02 12:47:06 | INFO     | DF | Running on host cvlab
2024-07-02 12:47:06 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-02 12:47:06 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-02 12:47:06 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-02 12:47:06 | INFO     | DF | Running on device cuda:0
2024-07-02 12:47:06 | INFO     | DF | Model loaded
2024-07-04 03:19:58 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-04 03:19:58 | INFO     | DF | Running on host cvlab
2024-07-04 03:19:58 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-04 03:19:58 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-04 03:19:59 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-04 03:19:59 | INFO     | DF | Running on device cuda:0
2024-07-04 03:19:59 | INFO     | DF | Model loaded
2024-07-04 03:20:31 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-04 03:20:31 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-04 03:20:31 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-04 03:20:31 | INFO     | DF | Running on device cuda:0
2024-07-04 03:20:31 | INFO     | DF | Model loaded
2024-07-04 03:20:50 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-04 03:20:50 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-04 03:20:50 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-04 03:20:50 | INFO     | DF | Running on device cuda:0
2024-07-04 03:20:50 | INFO     | DF | Model loaded
2024-07-04 03:21:45 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-04 03:21:45 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-04 03:21:45 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-04 03:21:45 | INFO     | DF | Running on device cuda:0
2024-07-04 03:21:45 | INFO     | DF | Model loaded
2024-07-06 22:32:47 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-06 22:32:47 | INFO     | DF | Running on host cvlab
2024-07-06 22:32:47 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-06 22:32:47 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-06 22:32:47 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-06 22:32:47 | INFO     | DF | Running on device cuda:0
2024-07-06 22:32:47 | INFO     | DF | Model loaded
2024-07-06 22:40:52 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-06 22:40:52 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-06 22:40:52 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-06 22:40:52 | INFO     | DF | Running on device cuda:0
2024-07-06 22:40:52 | INFO     | DF | Model loaded
2024-07-06 22:45:33 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-06 22:45:33 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-06 22:45:33 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-06 22:45:33 | INFO     | DF | Running on device cuda:0
2024-07-06 22:45:33 | INFO     | DF | Model loaded
2024-07-06 22:46:07 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-06 22:46:07 | INFO     | DF | Running on host cvlab
2024-07-06 22:46:08 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-06 22:46:08 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-06 22:46:08 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-06 22:46:08 | INFO     | DF | Running on device cuda:0
2024-07-06 22:46:08 | INFO     | DF | Model loaded
2024-07-07 04:25:03 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-07 04:25:03 | INFO     | DF | Running on host cvlab
2024-07-07 04:25:03 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-07 04:25:03 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-07 04:25:03 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-07 04:25:03 | INFO     | DF | Running on device cuda:0
2024-07-07 04:25:03 | INFO     | DF | Model loaded
2024-07-07 04:28:30 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-07 04:28:30 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-07 04:28:30 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-07 04:28:30 | INFO     | DF | Running on device cuda:0
2024-07-07 04:28:30 | INFO     | DF | Model loaded
2024-07-07 04:31:02 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-07 04:31:02 | INFO     | DF | Running on host cvlab
2024-07-07 04:31:02 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-07 04:31:02 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-07 04:31:03 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-07 04:31:03 | INFO     | DF | Running on device cuda:0
2024-07-07 04:31:03 | INFO     | DF | Model loaded
2024-07-07 04:31:10 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-07 04:31:10 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-07 04:31:10 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-07 04:31:10 | INFO     | DF | Running on device cuda:0
2024-07-07 04:31:10 | INFO     | DF | Model loaded
2024-07-07 04:31:19 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-07 04:31:19 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-07 04:31:19 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-07 04:31:19 | INFO     | DF | Running on device cuda:0
2024-07-07 04:31:19 | INFO     | DF | Model loaded
2024-07-07 04:31:33 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-07 04:31:33 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-07 04:31:33 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
